2016-06-07 23:16:00 upgrade dmsetup:amd64 2:1.02.90-2.2 2:1.02.90-2.2+deb8u1
2016-06-07 23:16:00 status half-configured dmsetup:amd64 2:1.02.90-2.2
2016-06-07 23:16:00 status unpacked dmsetup:amd64 2:1.02.90-2.2
2016-06-07 23:16:00 status half-installed dmsetup:amd64 2:1.02.90-2.2
2016-06-07 23:16:00 status triggers-pending man-db:amd64 2.7.0.2-5
2016-06-07 23:16:00 status half-installed dmsetup:amd64 2:1.02.90-2.2
2016-06-07 23:16:00 status unpacked dmsetup:amd64 2:1.02.90-2.2+deb8u1
2016-06-07 23:16:00 status unpacked dmsetup:amd64 2:1.02.90-2.2+deb8u1
2016-06-07 23:16:00 trigproc man-db:amd64 2.7.0.2-5 <ninguna>
2016-06-07 23:16:00 status half-configured man-db:amd64 2.7.0.2-5
2016-06-07 23:16:00 status installed man-db:amd64 2.7.0.2-5
2016-06-07 23:16:00 startup packages configure
2016-06-07 23:16:00 configure dmsetup:amd64 2:1.02.90-2.2+deb8u1 <ninguna>
2016-06-07 23:16:00 status unpacked dmsetup:amd64 2:1.02.90-2.2+deb8u1
2016-06-07 23:16:00 status half-configured dmsetup:amd64 2:1.02.90-2.2+deb8u1
2016-06-07 23:16:00 status installed dmsetup:amd64 2:1.02.90-2.2+deb8u1
2016-06-07 23:16:00 status triggers-pending initramfs-tools:all 0.120+deb8u1
2016-06-07 23:16:00 trigproc initramfs-tools:all 0.120+deb8u1 <ninguna>
2016-06-07 23:16:00 status half-configured initramfs-tools:all 0.120+deb8u1
2016-06-07 23:16:03 status installed initramfs-tools:all 0.120+deb8u1
2016-06-07 23:16:03 startup archives unpack
2016-06-07 23:16:03 upgrade libdevmapper1.02.1:amd64 2:1.02.90-2.2 2:1.02.90-2.2+deb8u1
2016-06-07 23:16:03 status half-configured libdevmapper1.02.1:amd64 2:1.02.90-2.2
2016-06-07 23:16:03 status unpacked libdevmapper1.02.1:amd64 2:1.02.90-2.2
2016-06-07 23:16:03 status half-installed libdevmapper1.02.1:amd64 2:1.02.90-2.2
2016-06-07 23:16:03 status half-installed libdevmapper1.02.1:amd64 2:1.02.90-2.2
2016-06-07 23:16:03 status unpacked libdevmapper1.02.1:amd64 2:1.02.90-2.2+deb8u1
2016-06-07 23:16:03 status unpacked libdevmapper1.02.1:amd64 2:1.02.90-2.2+deb8u1
2016-06-07 23:16:03 startup packages configure
2016-06-07 23:16:03 configure libdevmapper1.02.1:amd64 2:1.02.90-2.2+deb8u1 <ninguna>
2016-06-07 23:16:03 status unpacked libdevmapper1.02.1:amd64 2:1.02.90-2.2+deb8u1
2016-06-07 23:16:03 status half-configured libdevmapper1.02.1:amd64 2:1.02.90-2.2+deb8u1
2016-06-07 23:16:04 status installed libdevmapper1.02.1:amd64 2:1.02.90-2.2+deb8u1
2016-06-07 23:16:04 status triggers-pending libc-bin:amd64 2.19-18+deb8u4
2016-06-07 23:16:04 trigproc libc-bin:amd64 2.19-18+deb8u4 <ninguna>
2016-06-07 23:16:04 status half-configured libc-bin:amd64 2.19-18+deb8u4
2016-06-07 23:16:04 status installed libc-bin:amd64 2.19-18+deb8u4
2016-06-07 23:16:04 startup archives unpack
2016-06-07 23:16:04 upgrade libssl-doc:all 1.0.1k-3+deb8u5 1.0.1t-1+deb8u2
2016-06-07 23:16:04 status half-configured libssl-doc:all 1.0.1k-3+deb8u5
2016-06-07 23:16:04 status unpacked libssl-doc:all 1.0.1k-3+deb8u5
2016-06-07 23:16:04 status half-installed libssl-doc:all 1.0.1k-3+deb8u5
2016-06-07 23:16:04 status triggers-pending man-db:amd64 2.7.0.2-5
2016-06-07 23:16:05 status half-installed libssl-doc:all 1.0.1k-3+deb8u5
2016-06-07 23:16:05 status unpacked libssl-doc:all 1.0.1t-1+deb8u2
2016-06-07 23:16:05 status unpacked libssl-doc:all 1.0.1t-1+deb8u2
2016-06-07 23:16:05 upgrade libssl-dev:amd64 1.0.1k-3+deb8u5 1.0.1t-1+deb8u2
2016-06-07 23:16:05 status half-configured libssl-dev:amd64 1.0.1k-3+deb8u5
2016-06-07 23:16:05 status unpacked libssl-dev:amd64 1.0.1k-3+deb8u5
2016-06-07 23:16:05 status half-installed libssl-dev:amd64 1.0.1k-3+deb8u5
2016-06-07 23:16:05 status half-installed libssl-dev:amd64 1.0.1k-3+deb8u5
2016-06-07 23:16:05 status unpacked libssl-dev:amd64 1.0.1t-1+deb8u2
2016-06-07 23:16:05 status unpacked libssl-dev:amd64 1.0.1t-1+deb8u2
2016-06-07 23:16:06 upgrade libssl1.0.0:amd64 1.0.1k-3+deb8u5 1.0.1t-1+deb8u2
2016-06-07 23:16:06 status half-configured libssl1.0.0:amd64 1.0.1k-3+deb8u5
2016-06-07 23:16:06 status unpacked libssl1.0.0:amd64 1.0.1k-3+deb8u5
2016-06-07 23:16:06 status half-installed libssl1.0.0:amd64 1.0.1k-3+deb8u5
2016-06-07 23:16:06 status half-installed libssl1.0.0:amd64 1.0.1k-3+deb8u5
2016-06-07 23:16:06 status unpacked libssl1.0.0:amd64 1.0.1t-1+deb8u2
2016-06-07 23:16:06 status unpacked libssl1.0.0:amd64 1.0.1t-1+deb8u2
2016-06-07 23:16:06 upgrade libidn11:amd64 1.29-1+b2 1.29-1+deb8u1
2016-06-07 23:16:06 status half-configured libidn11:amd64 1.29-1+b2
2016-06-07 23:16:06 status unpacked libidn11:amd64 1.29-1+b2
2016-06-07 23:16:06 status half-installed libidn11:amd64 1.29-1+b2
2016-06-07 23:16:06 status half-installed libidn11:amd64 1.29-1+b2
2016-06-07 23:16:06 status unpacked libidn11:amd64 1.29-1+deb8u1
2016-06-07 23:16:06 status unpacked libidn11:amd64 1.29-1+deb8u1
2016-06-07 23:16:06 upgrade libtasn1-6:amd64 4.2-3+deb8u1 4.2-3+deb8u2
2016-06-07 23:16:06 status half-configured libtasn1-6:amd64 4.2-3+deb8u1
2016-06-07 23:16:06 status unpacked libtasn1-6:amd64 4.2-3+deb8u1
2016-06-07 23:16:06 status half-installed libtasn1-6:amd64 4.2-3+deb8u1
2016-06-07 23:16:06 status half-installed libtasn1-6:amd64 4.2-3+deb8u1
2016-06-07 23:16:06 status unpacked libtasn1-6:amd64 4.2-3+deb8u2
2016-06-07 23:16:06 status unpacked libtasn1-6:amd64 4.2-3+deb8u2
2016-06-07 23:16:06 upgrade libxml2:amd64 2.9.1+dfsg1-5+deb8u1 2.9.1+dfsg1-5+deb8u2
2016-06-07 23:16:06 status half-configured libxml2:amd64 2.9.1+dfsg1-5+deb8u1
2016-06-07 23:16:06 status unpacked libxml2:amd64 2.9.1+dfsg1-5+deb8u1
2016-06-07 23:16:06 status half-installed libxml2:amd64 2.9.1+dfsg1-5+deb8u1
2016-06-07 23:16:06 status half-installed libxml2:amd64 2.9.1+dfsg1-5+deb8u1
2016-06-07 23:16:06 status unpacked libxml2:amd64 2.9.1+dfsg1-5+deb8u2
2016-06-07 23:16:06 status unpacked libxml2:amd64 2.9.1+dfsg1-5+deb8u2
2016-06-07 23:16:06 upgrade libexpat1-dev:amd64 2.1.0-6+deb8u1 2.1.0-6+deb8u3
2016-06-07 23:16:06 status half-configured libexpat1-dev:amd64 2.1.0-6+deb8u1
2016-06-07 23:16:06 status unpacked libexpat1-dev:amd64 2.1.0-6+deb8u1
2016-06-07 23:16:06 status half-installed libexpat1-dev:amd64 2.1.0-6+deb8u1
2016-06-07 23:16:06 status half-installed libexpat1-dev:amd64 2.1.0-6+deb8u1
2016-06-07 23:16:06 status unpacked libexpat1-dev:amd64 2.1.0-6+deb8u3
2016-06-07 23:16:06 status unpacked libexpat1-dev:amd64 2.1.0-6+deb8u3
2016-06-07 23:16:06 upgrade libexpat1:amd64 2.1.0-6+deb8u1 2.1.0-6+deb8u3
2016-06-07 23:16:06 status half-configured libexpat1:amd64 2.1.0-6+deb8u1
2016-06-07 23:16:06 status unpacked libexpat1:amd64 2.1.0-6+deb8u1
2016-06-07 23:16:06 status half-installed libexpat1:amd64 2.1.0-6+deb8u1
2016-06-07 23:16:06 status half-installed libexpat1:amd64 2.1.0-6+deb8u1
2016-06-07 23:16:07 status unpacked libexpat1:amd64 2.1.0-6+deb8u3
2016-06-07 23:16:07 status unpacked libexpat1:amd64 2.1.0-6+deb8u3
2016-06-07 23:16:07 upgrade libgd-dev:amd64 2.1.0-5+deb8u1 2.1.0-5+deb8u3
2016-06-07 23:16:07 status half-configured libgd-dev:amd64 2.1.0-5+deb8u1
2016-06-07 23:16:07 status unpacked libgd-dev:amd64 2.1.0-5+deb8u1
2016-06-07 23:16:07 status half-installed libgd-dev:amd64 2.1.0-5+deb8u1
2016-06-07 23:16:07 status half-installed libgd-dev:amd64 2.1.0-5+deb8u1
2016-06-07 23:16:07 status unpacked libgd-dev:amd64 2.1.0-5+deb8u3
2016-06-07 23:16:07 status unpacked libgd-dev:amd64 2.1.0-5+deb8u3
2016-06-07 23:16:07 upgrade libgd2-xpm-dev:amd64 2.1.0-5+deb8u1 2.1.0-5+deb8u3
2016-06-07 23:16:07 status half-configured libgd2-xpm-dev:amd64 2.1.0-5+deb8u1
2016-06-07 23:16:07 status unpacked libgd2-xpm-dev:amd64 2.1.0-5+deb8u1
2016-06-07 23:16:07 status half-installed libgd2-xpm-dev:amd64 2.1.0-5+deb8u1
2016-06-07 23:16:07 status half-installed libgd2-xpm-dev:amd64 2.1.0-5+deb8u1
2016-06-07 23:16:07 status unpacked libgd2-xpm-dev:amd64 2.1.0-5+deb8u3
2016-06-07 23:16:07 status unpacked libgd2-xpm-dev:amd64 2.1.0-5+deb8u3
2016-06-07 23:16:07 upgrade libgd3:amd64 2.1.0-5+deb8u1 2.1.0-5+deb8u3
2016-06-07 23:16:07 status half-configured libgd3:amd64 2.1.0-5+deb8u1
2016-06-07 23:16:07 status unpacked libgd3:amd64 2.1.0-5+deb8u1
2016-06-07 23:16:07 status half-installed libgd3:amd64 2.1.0-5+deb8u1
2016-06-07 23:16:07 status half-installed libgd3:amd64 2.1.0-5+deb8u1
2016-06-07 23:16:07 status unpacked libgd3:amd64 2.1.0-5+deb8u3
2016-06-07 23:16:07 status unpacked libgd3:amd64 2.1.0-5+deb8u3
2016-06-07 23:16:07 upgrade libgdk-pixbuf2.0-0:amd64 2.31.1-2+deb8u4 2.31.1-2+deb8u5
2016-06-07 23:16:07 status half-configured libgdk-pixbuf2.0-0:amd64 2.31.1-2+deb8u4
2016-06-07 23:16:07 status unpacked libgdk-pixbuf2.0-0:amd64 2.31.1-2+deb8u4
2016-06-07 23:16:07 status half-installed libgdk-pixbuf2.0-0:amd64 2.31.1-2+deb8u4
2016-06-07 23:16:07 status half-installed libgdk-pixbuf2.0-0:amd64 2.31.1-2+deb8u4
2016-06-07 23:16:07 status unpacked libgdk-pixbuf2.0-0:amd64 2.31.1-2+deb8u5
2016-06-07 23:16:07 status unpacked libgdk-pixbuf2.0-0:amd64 2.31.1-2+deb8u5
